customer_id,transaction_id,transaction_date,amount,name,age,country,is_active
3554,3950,05/03/2024,62.14,Carl Gill,83.0,ITALY,True
1100,2602,03/01/2024,238.18,Warren Schultz,,CANADA,False
3641,1776,16/10/2024,43.86,Meagan Smith,,GERMANY,True
1192,3444,06/03/2022,57.48,Michelle Floyd,82.0,UK,False
4986,406,19/10/2024,107.35,Jose Hardy,23.0,SPAIN,True
5045,5584,17/04/2023,366.98,Marilyn Page DVM,49.0,GERMANY,True
1841,1845,31/01/2023,376.82,John Davis,32.0,USA,True
3132,4086,23/07/2024,481.51,Mrs. Nicole Moreno,65.0,ITALY,False
4877,5659,10/04/2023,389.69,Sarah Rice,79.0,CANADA,True
4379,8043,15/08/2023,334.83,Christopher Ray,,USA,False
1242,7402,22/07/2023,23.26,Barbara Tate,19.0,USA,False
3329,4604,19/04/2024,298.18,Melissa Osborn,51.0,ITALY,True
2928,8310,24/02/2022,235.88,Carlos Walters Jr.,35.0,ITALY,True
3403,603,12/11/2023,497.95,Michelle Robbins,73.0,ITALY,True
4864,6348,20/01/2022,329.84,Mary Gillespie,24.0,ITALY,True
52,7380,04/10/2023,150.57,James Morgan,66.0,CANADA,False
700,3220,10/01/2025,221.3,Anthony Ramirez,71.0,ITALY,True
1479,8391,12/10/2023,291.38,Jason Roberts,58.0,CANADA,True
3452,5987,23/08/2023,105.36,Stephanie Daniels,,CANADA,True
1596,7665,15/08/2024,229.3,Christopher Cooper,30.0,NETHERLANDS,False
1198,7919,19/10/2024,127.65,Christina Johnston,57.0,USA,False
4402,4005,17/05/2022,119.88,Miranda Johns,23.0,UK,False
3723,9602,04/03/2023,116.06,Jonathan Ford,53.0,CANADA,False
3455,8306,30/11/2022,53.5,Shelly Rodgers,,FRANCE,False
2927,546,09/08/2022,368.63,Christian Cervantes,76.0,GERMANY,False
4283,3676,14/02/2022,311.44,Wayne Wong,85.0,SPAIN,True
4226,9370,20/08/2022,119.41,Samantha Johnson,41.0,UK,True
783,6856,25/10/2024,56.96,Brandy Carrillo,84.0,GERMANY,False
621,10416,12/06/2024,28.71,Jamie Barton,60.0,USA,False
1706,5636,02/12/2022,315.65,Michael Johnson,49.0,ITALY,False
2910,430,28/03/2024,293.56,Larry Rodriguez,49.0,NETHERLANDS,False
2879,5848,20/05/2023,440.45,Crystal Edwards,80.0,GERMANY,False
4368,4351,02/02/2024,324.85,Michael Ortega,34.0,GERMANY,True
4560,8588,11/05/2024,135.37,James Baker,64.0,ITALY,True
