customer_id,name,age,country,is_active
4612,Eric Richardson,37,,0
3594,John Roberts,65,UK,1
2420,Brian Soto,29,Germany,active
1052,Joshua Park,63,USA,
2820,Danielle Brown,61,France,active
753,Richard Adams,81,Spain,False
4286,Joshua Ellis,39,,False
1957,Jake Sims,80,Netherlands,0
2472,Stephen Carson,72,UK,True
2416,Brian Caldwell,,France,True
1095,Mary Faulkner,28,Canada,False
1717,Dwayne Bowen,39,USA,inactive
2386,Caleb Freeman,59,USA,0
1680,Sabrina Brooks,33,UK,inactive
1941,Angela Edwards,60,Spain,True
2354,Jean Reed,29,Canada,True
2141,Jasmin Harris,41,UK,inactive
2981,Jessica Jones,38,Germany,0
617,Billy Jacobs,49,Germany,active
4302,Paula Cooper,57,Canada,False
3276,Laura Black,33,Spain,1
3166,Amy Cain,75,France,active
1009,Stacey Hunt,48,Netherlands,1
4967,Megan Rivera,44,Germany,False
3716,Victor Blake,24,Italy,
2483,Nicholas Thomas,74,Germany,0
2565,Richard Harper,79,Germany,1
3725,Kevin Wolfe,18,UK,False
3674,James Bennett,26,Germany,inactive
3788,Wendy Williams,46,France,True
157,Hannah Patterson,65,Italy,1
3229,Matthew Scott,,Netherlands,inactive
4691,Taylor Everett,36,Italy,
950,Jason Garcia,29,Canada,active
5083,Mr. Jerry Hammond,78,USA,
5145,Kelsey Pearson,23,Netherlands,
1651,Elizabeth Kemp,56,Canada,inactive
4444,Angela Simmons,56,Italy,False
5192,Laura Sullivan,20,Germany,0
1120,James Anderson,75,Netherlands,0
4681,Jeffrey Peters,56,Germany,0
2195,Luis Mosley,47,Netherlands,0
2597,Anthony Frederick,18,Germany,inactive
2262,Robin Smith,50,Spain,True
3919,Robert Ford,69,France,False
2026,Melissa Burns,43,Netherlands,1
2932,Joseph Best,60,France,1
4207,Mary Hoffman,30,UK,inactive
5098,Susan Singh,74,USA,0
4410,Carol Mcintosh,32,Netherlands,False
3423,Christopher Jordan,,Netherlands,active
1769,Michael Huffman,25,USA,active
1896,Alan Waller,55,UK,1
3691,Jonathan Heath,33,,
2197,James Phillips,34,France,1
1513,Dennis Moreno,66,Spain,
3910,Mrs. Erin Allen,67,Canada,True
3555,James Moore,84,Canada,True
2745,Dylan Olson,85,Italy,1
1912,Daniel Stout,,Spain,1
4891,Jacqueline James,34,Italy,inactive
956,Melissa Castillo,75,Spain,active
2162,David Hunter,51,Germany,inactive
839,Richard Le,77,USA,False
1069,Paul Berger,63,Spain,inactive
2152,Donna Ibarra,19,USA,True
792,Joel Lara,62,Spain,0
1302,Barbara Townsend,28,Netherlands,1
4641,Stacey Duran,83,,1
4915,Heather Hernandez,42,UK,0
4257,John Hoover,34,France,1
4379,Christopher Ray,,USA,0
2140,Katherine Lopez,61,Germany,0
2359,Jacqueline Waters,22,UK,False
4222,Michael Palmer,33,Spain,True
965,Jeffrey Howell,65,Canada,False
4828,Timothy Krause,54,USA,active
2237,Tammy Booth,31,Italy,0
2353,Brett Williams,50,Spain,0
2966,Daniel Russell,74,France,inactive
3852,Ashley Brooks,21,Germany,
3858,Amy Hicks,30,USA,active
2501,Clarence Manning,83,Canada,
3047,Charles Stewart,33,Netherlands,
1511,John Alvarez,40,Italy,
759,Scott Sanchez,28,France,1
357,Jason Morgan,51,France,1
2545,Richard Lyons,34,UK,active
4910,Joseph Hogan,24,Italy,0
566,Emma Butler,37,Germany,False
294,Elizabeth Schneider,,USA,active
946,Lisa Wheeler,19,Italy,1
1415,Stephanie Herrera,84,UK,inactive
1776,Dustin Martin,70,Italy,active
692,Gregory Montoya,65,UK,active
5058,Jeremy Gross,78,Netherlands,False
2716,Andrew Meyer,51,Spain,True
4758,Mary White,41,UK,
934,Joseph Cross,22,France,True
1835,Anthony Cook,83,Italy,False
3635,Christopher Carson,29,Italy,True
848,Tommy Martin,83,Germany,0
4782,James Gonzales,62,Canada,inactive
1785,Ann Hahn,38,Italy,0
216,Cynthia Moore,69,Italy,inactive
21,Michelle Lewis,28,France,1
1641,Harry Bryant,52,Canada,0
39,Kim Martinez,45,Italy,
695,Jessica Jensen,38,Spain,1
541,Miranda Foster,36,Spain,1
2653,Emily Salazar,80,Spain,inactive
4912,Kenneth Ross,30,Germany,0
1382,Charles Hammond,49,UK,inactive
2945,Elizabeth Ortiz,44,Italy,0
5135,Jennifer Collins,71,USA,True
1922,Renee Morgan,78,,True
