customer_id,name,age,country,is_active
3594,John Roberts,65.0,UK,True
2420,Brian Soto,29.0,GERMANY,True
2820,Danielle Brown,61.0,FRANCE,True
753,Richard Adams,81.0,SPAIN,False
1957,Jake Sims,80.0,NETHERLANDS,False
2472,Stephen Carson,72.0,UK,True
2416,Brian Caldwell,,FRANCE,True
1095,Mary Faulkner,28.0,CANADA,False
1717,Dwayne Bowen,39.0,USA,False
2386,Caleb Freeman,59.0,USA,False
1680,Sabrina Brooks,33.0,UK,False
1941,Angela Edwards,60.0,SPAIN,True
2354,Jean Reed,29.0,CANADA,True
2141,Jasmin Harris,41.0,UK,False
2981,Jessica Jones,38.0,GERMANY,False
617,Billy Jacobs,49.0,GERMANY,True
4302,Paula Cooper,57.0,CANADA,False
3276,Laura Black,33.0,SPAIN,True
3166,Amy Cain,75.0,FRANCE,True
1009,Stacey Hunt,48.0,NETHERLANDS,True
4967,Megan Rivera,44.0,GERMANY,False
2483,Nicholas Thomas,74.0,GERMANY,False
2565,Richard Harper,79.0,GERMANY,True
3725,Kevin Wolfe,18.0,UK,False
3674,James Bennett,26.0,GERMANY,False
3788,Wendy Williams,46.0,FRANCE,True
157,Hannah Patterson,65.0,ITALY,True
3229,Matthew Scott,,NETHERLANDS,False
950,Jason Garcia,29.0,CANADA,True
1651,Elizabeth Kemp,56.0,CANADA,False
4444,Angela Simmons,56.0,ITALY,False
5192,Laura Sullivan,20.0,GERMANY,False
1120,James Anderson,75.0,NETHERLANDS,False
4681,Jeffrey Peters,56.0,GERMANY,False
2195,Luis Mosley,47.0,NETHERLANDS,False
2597,Anthony Frederick,18.0,GERMANY,False
2262,Robin Smith,50.0,SPAIN,True
3919,Robert Ford,69.0,FRANCE,False
2026,Melissa Burns,43.0,NETHERLANDS,True
2932,Joseph Best,60.0,FRANCE,True
4207,Mary Hoffman,30.0,UK,False
5098,Susan Singh,74.0,USA,False
4410,Carol Mcintosh,32.0,NETHERLANDS,False
3423,Christopher Jordan,,NETHERLANDS,True
1769,Michael Huffman,25.0,USA,True
1896,Alan Waller,55.0,UK,True
2197,James Phillips,34.0,FRANCE,True
3910,Mrs. Erin Allen,67.0,CANADA,True
3555,James Moore,84.0,CANADA,True
2745,Dylan Olson,85.0,ITALY,True
1912,Daniel Stout,,SPAIN,True
4891,Jacqueline James,34.0,ITALY,False
956,Melissa Castillo,75.0,SPAIN,True
2162,David Hunter,51.0,GERMANY,False
839,Richard Le,77.0,USA,False
1069,Paul Berger,63.0,SPAIN,False
2152,Donna Ibarra,19.0,USA,True
792,Joel Lara,62.0,SPAIN,False
1302,Barbara Townsend,28.0,NETHERLANDS,True
4915,Heather Hernandez,42.0,UK,False
4257,John Hoover,34.0,FRANCE,True
4379,Christopher Ray,,USA,False
2140,Katherine Lopez,61.0,GERMANY,False
2359,Jacqueline Waters,22.0,UK,False
4222,Michael Palmer,33.0,SPAIN,True
965,Jeffrey Howell,65.0,CANADA,False
4828,Timothy Krause,54.0,USA,True
2237,Tammy Booth,31.0,ITALY,False
2353,Brett Williams,50.0,SPAIN,False
2966,Daniel Russell,74.0,FRANCE,False
3858,Amy Hicks,30.0,USA,True
759,Scott Sanchez,28.0,FRANCE,True
357,Jason Morgan,51.0,FRANCE,True
2545,Richard Lyons,34.0,UK,True
4910,Joseph Hogan,24.0,ITALY,False
566,Emma Butler,37.0,GERMANY,False
294,Elizabeth Schneider,,USA,True
946,Lisa Wheeler,19.0,ITALY,True
1415,Stephanie Herrera,84.0,UK,False
1776,Dustin Martin,70.0,ITALY,True
692,Gregory Montoya,65.0,UK,True
5058,Jeremy Gross,78.0,NETHERLANDS,False
2716,Andrew Meyer,51.0,SPAIN,True
934,Joseph Cross,22.0,FRANCE,True
1835,Anthony Cook,83.0,ITALY,False
3635,Christopher Carson,29.0,ITALY,True
848,Tommy Martin,83.0,GERMANY,False
4782,James Gonzales,62.0,CANADA,False
1785,Ann Hahn,38.0,ITALY,False
216,Cynthia Moore,69.0,ITALY,False
21,Michelle Lewis,28.0,FRANCE,True
1641,Harry Bryant,52.0,CANADA,False
695,Jessica Jensen,38.0,SPAIN,True
541,Miranda Foster,36.0,SPAIN,True
2653,Emily Salazar,80.0,SPAIN,False
4912,Kenneth Ross,30.0,GERMANY,False
1382,Charles Hammond,49.0,UK,False
2945,Elizabeth Ortiz,44.0,ITALY,False
5135,Jennifer Collins,71.0,USA,True
2410,Jeffery Brown,25.0,NETHERLANDS,False
2828,Joshua Garcia,23.0,NETHERLANDS,True
4219,Cynthia Hogan,74.0,FRANCE,False
4690,Abigail Acevedo,37.0,GERMANY,True
4487,Tanya Foster,19.0,USA,True
2283,Teresa Garner,63.0,NETHERLANDS,True
866,Rebecca Byrd,53.0,USA,False
2398,Gregory Smith,24.0,FRANCE,False
1576,Michelle Salazar,25.0,UK,False
1862,Wayne Douglas,,CANADA,True
126,Jessica Meadows,84.0,FRANCE,False
288,Ashley Delacruz,76.0,GERMANY,True
397,Chelsea Barnett,38.0,UK,False
533,Colleen Wright,75.0,USA,True
2638,Ernest Smith,62.0,NETHERLANDS,False
3418,William Ayala,55.0,SPAIN,True
1355,Michael Woods,83.0,ITALY,True
514,Paul Brennan,20.0,CANADA,False
4404,Rebecca Nielsen,45.0,ITALY,False
5174,Randy Howell,33.0,CANADA,False
302,Jennifer Wilcox,,ITALY,False
5045,Marilyn Page DVM,49.0,GERMANY,True
3019,Christina Ward MD,54.0,CANADA,False
264,Gina Wilson,78.0,NETHERLANDS,False
3862,Jessica Palmer,60.0,NETHERLANDS,False
1046,Diane Pruitt,45.0,CANADA,False
4448,Adrienne Haynes,48.0,USA,True
936,Aaron Gross,55.0,FRANCE,False
4678,Joshua Phillips,51.0,NETHERLANDS,True
489,Tami Salas,66.0,GERMANY,True
818,Travis Copeland,34.0,USA,False
1345,Michael Mills,27.0,FRANCE,True
3052,Janice Medina,65.0,ITALY,True
3284,Sherri Smith,22.0,NETHERLANDS,True
4169,Kelly Davis,58.0,FRANCE,False
859,John Perez,35.0,SPAIN,False
2041,Monica Hill,,ITALY,False
4850,Jenna Hernandez,58.0,GERMANY,False
4326,Christina Robinson,55.0,ITALY,False
2457,Chelsea Thomas,21.0,NETHERLANDS,True
1578,Cheryl Downs,78.0,SPAIN,False
3682,Donna Davis,61.0,NETHERLANDS,True
713,Caleb Mathews,37.0,GERMANY,False
4706,Colleen Padilla,81.0,UK,True
1801,Jeremy Smith,56.0,USA,True
275,Michael Paul,38.0,CANADA,True
4179,Joseph Baker,82.0,FRANCE,True
3684,Molly Fernandez,20.0,CANADA,False
3872,Carol Chambers,78.0,USA,True
1565,William Johnston,29.0,SPAIN,True
3216,Kimberly White,62.0,ITALY,True
2491,Justin Rosario,68.0,SPAIN,False
270,Kaitlyn Harvey,48.0,ITALY,False
3279,Dr. Heather Scott,50.0,NETHERLANDS,True
5004,Jessica Young,57.0,SPAIN,False
3961,Molly Bartlett,40.0,GERMANY,True
1048,Steven Lee,49.0,UK,False
4287,Amanda Pena,67.0,SPAIN,False
2148,Kathryn Cohen,52.0,SPAIN,False
1850,Brian Woodard,36.0,CANADA,True
921,Brandon Kelly,24.0,GERMANY,False
2699,Tracy Aguilar,70.0,CANADA,False
2433,Carol Christensen,37.0,UK,True
156,Lindsay Martinez,37.0,SPAIN,False
4737,Seth Hernandez,84.0,USA,True
4312,Christopher Johnston,69.0,GERMANY,True
2232,Bruce Davis,75.0,NETHERLANDS,True
3289,Samantha Barnes,51.0,UK,False
4656,Brian Kent,68.0,FRANCE,False
4856,Regina Cox,65.0,FRANCE,True
5137,Ashley Thomas,25.0,NETHERLANDS,False
898,Penny Lewis,59.0,ITALY,True
3454,Guy Medina,44.0,GERMANY,True
4014,Jeremy Thomas,60.0,USA,False
3741,Jill Barajas,30.0,UK,True
369,Ryan Garcia,59.0,SPAIN,True
2973,Angela Powell,76.0,CANADA,False
199,John Torres,40.0,ITALY,True
474,Holly Thomas,29.0,FRANCE,True
1633,Kimberly Anderson,40.0,NETHERLANDS,False
2601,Jenna Gill,84.0,ITALY,False
1831,Susan Wood,53.0,NETHERLANDS,True
3485,Christian Carter,61.0,UK,False
2134,Amanda Taylor,19.0,NETHERLANDS,False
411,Jessica Ross,82.0,SPAIN,True
4400,Robert Parks MD,49.0,NETHERLANDS,False
22,Thomas Ellis,64.0,ITALY,True
1944,Rebecca Liu,26.0,CANADA,False
2985,Shane Barnes,23.0,ITALY,True
5086,Vickie Tran,62.0,GERMANY,True
1668,Gabriela Fitzpatrick,46.0,UK,False
1129,Melissa Davis,58.0,GERMANY,False
3077,Christopher Garcia,27.0,GERMANY,False
4746,Manuel Gomez,73.0,ITALY,False
4548,Melody Kent,64.0,USA,False
2264,Lawrence Ross,64.0,UK,False
2988,Matthew Thomas,41.0,ITALY,False
694,Leah Bell,54.0,UK,True
963,Anna Chang,82.0,ITALY,False
1498,Richard Green,18.0,NETHERLANDS,False
5151,Anthony Pacheco,25.0,GERMANY,False
4815,Melissa Cunningham,68.0,GERMANY,True
2015,Karen Harper,28.0,ITALY,True
4829,Brittney King,85.0,ITALY,False
1062,Jane Short,55.0,UK,True
1899,Randy Hernandez,18.0,SPAIN,True
2176,Pamela Mcfarland,38.0,CANADA,False
4233,Kyle Myers,26.0,CANADA,False
3727,Gary Rodriguez,28.0,CANADA,False
2377,Michael Decker,69.0,USA,True
1134,Jennifer Rodriguez,34.0,ITALY,True
1788,Kelly Crawford,59.0,GERMANY,True
3045,Stephanie Lee,40.0,UK,False
46,Austin Johnson,46.0,FRANCE,False
553,Christopher Lopez,58.0,CANADA,False
2210,Craig Coleman,,ITALY,True
3740,Alexander Miller,27.0,USA,False
1643,Sara Schwartz,19.0,ITALY,True
2254,Jacob Wu,67.0,FRANCE,True
2556,John Brown,43.0,CANADA,True
4754,James Mcdaniel,37.0,UK,False
2514,Derrick Garcia,81.0,GERMANY,True
4963,Erik Hill,,FRANCE,True
1080,Erik Floyd,79.0,SPAIN,False
3469,Kyle Sims MD,71.0,CANADA,True
2186,Austin Robinson,44.0,USA,False
2435,Christopher Robinson,29.0,NETHERLANDS,True
4574,Adam Johnson,51.0,UK,True
3884,Melissa Wagner,71.0,GERMANY,False
339,Jordan Bullock,56.0,SPAIN,True
