transaction_id,customer_id,transaction_date,amount,name,age,country,is_active
1,1686,17/08/2022,195.87,Linda Jackson,37.0,GERMANY,True
2,3532,26/12/2023,270.92,Laurie Huerta,84.0,UK,True
3,2500,14/03/2022,25.34,Adam Guerra,28.0,FRANCE,False
6,2755,08/04/2023,462.12,Sarah Payne,42.0,SPAIN,True
7,2151,20/05/2024,407.02,Katherine Ford,37.0,USA,True
8,4842,04/08/2024,116.11,Joe Sanders,20.0,GERMANY,False
9,225,18/04/2022,177.06,Lauren Keller,74.0,UK,False
10,5092,10/02/2022,222.7,Nancy Merritt,47.0,CANADA,False
11,3503,07/05/2024,393.48,James Larsen,47.0,FRANCE,True
13,4533,09/03/2023,200.17,Justin Garcia,63.0,UK,True
14,2355,22/04/2024,430.67,Rachel Arnold,45.0,UK,True
15,4381,09/02/2023,237.12,Morgan Lloyd,43.0,CANADA,True
17,4251,30/03/2024,137.45,Erica Thomas,30.0,GERMANY,False
18,3124,24/06/2022,238.99,Richard Reid,28.0,UK,False
20,125,13/01/2022,147.54,Stephanie Salazar,28.0,NETHERLANDS,False
21,2248,26/05/2024,51.91,James Hill,,FRANCE,True
22,2048,30/04/2024,387.96,Jason Cole,37.0,FRANCE,False
23,2424,21/06/2024,175.39,Philip Ferguson,60.0,ITALY,False
24,3233,25/05/2024,28.92,Nathan David,44.0,NETHERLANDS,True
25,2247,04/11/2022,187.23,Ashley Fields,28.0,NETHERLANDS,True
26,2053,12/11/2024,393.39,Alexander Robles,79.0,SPAIN,True
28,2515,09/06/2023,288.54,Sarah Johnson,81.0,UK,True
29,2630,01/02/2024,419.64,Jeremy Carlson,78.0,NETHERLANDS,False
30,1465,01/05/2023,227.47,Jamie Snyder,75.0,SPAIN,True
31,142,13/11/2024,225.56,Mary Miller,35.0,CANADA,False
32,3822,02/05/2024,28.13,Jeffrey Pitts,37.0,USA,False
33,2939,18/05/2024,245.3,Karen Ballard,77.0,UK,True
36,652,25/07/2024,145.46,Mary Kelly,,UK,True
39,2114,26/06/2022,385.33,Jeremy Baker,48.0,UK,False
40,2263,21/05/2024,137.17,Tracy Fitzgerald,56.0,GERMANY,False
41,4055,07/07/2023,72.34,Ariel Gordon,18.0,SPAIN,True
42,5164,21/10/2023,95.5,Ashley Dudley,47.0,FRANCE,True
44,1907,04/02/2022,66.08,Sharon Hall,24.0,ITALY,False
45,316,09/02/2022,100.29,Phillip Dorsey,50.0,UK,True
47,4751,11/08/2023,165.49,David Tapia,44.0,NETHERLANDS,True
48,4534,01/02/2022,361.51,Timothy Carpenter,81.0,UK,False
50,2123,13/01/2022,487.89,Kevin Rios,53.0,USA,True
51,133,09/12/2022,342.41,Jennifer Clark,76.0,ITALY,False
52,2895,25/03/2022,274.82,Wendy Williams,42.0,GERMANY,False
53,367,12/03/2024,304.28,Christopher Lewis,74.0,SPAIN,True
54,2865,07/02/2023,63.49,Sandra Becker,64.0,USA,False
57,1672,01/10/2023,169.64,John Carson,78.0,GERMANY,True
61,1173,19/07/2023,22.1,Brian Mora,26.0,GERMANY,True
62,4973,10/11/2024,396.2,Kathleen Taylor,71.0,ITALY,False
63,2745,24/11/2022,487.8,Dylan Olson,85.0,ITALY,True
66,1314,06/09/2023,190.47,Thomas Davis,79.0,CANADA,False
67,2383,12/04/2023,465.85,Edwin Rodriguez,43.0,USA,True
68,4844,12/06/2022,22.51,Marissa Ewing,34.0,FRANCE,False
69,4990,28/05/2024,113.63,Joy Dorsey,73.0,CANADA,True
70,2565,22/02/2023,260.29,Richard Harper,79.0,GERMANY,True
71,4164,09/06/2024,393.9,George Jones,65.0,SPAIN,False
72,2819,06/11/2022,470.57,Laura Ritter,,NETHERLANDS,True
74,268,02/05/2024,331.96,Jacob Curry,49.0,GERMANY,False
75,1230,11/10/2024,196.73,Rhonda Cohen,48.0,CANADA,True
78,4706,11/12/2023,318.86,Colleen Padilla,81.0,UK,True
79,3425,15/06/2024,274.09,Jesse Davis,27.0,ITALY,True
80,994,03/04/2022,425.32,Mark Marsh,66.0,SPAIN,True
81,4324,03/03/2024,401.12,Angelica Diaz,32.0,USA,False
83,4297,12/02/2022,264.96,Mason Fleming,74.0,CANADA,True
84,2597,24/10/2024,141.9,Anthony Frederick,18.0,GERMANY,False
85,4713,15/07/2022,153.6,Andrea David DDS,38.0,UK,False
86,2000,16/04/2024,171.06,Tristan Gregory,41.0,GERMANY,False
87,2966,16/01/2024,123.14,Daniel Russell,74.0,FRANCE,False
88,2579,21/09/2022,376.61,Jake Tran,58.0,UK,False
91,3359,03/08/2022,187.32,Connie Hamilton,58.0,ITALY,False
92,2884,02/03/2022,284.62,Danielle Blankenship,,UK,False
93,627,07/07/2022,458.17,Brandon Spencer,50.0,FRANCE,True
94,3967,19/09/2024,306.56,Connor Walsh,18.0,ITALY,False
95,3678,25/11/2022,395.29,Michael Richmond,44.0,CANADA,False
96,1883,08/11/2023,288.98,Robin Kelly,60.0,UK,True
98,2007,16/12/2024,390.46,David Mercado,20.0,SPAIN,False
100,1132,27/03/2022,306.72,Patrick Smith,74.0,USA,False
105,5183,02/08/2023,441.91,Jordan Cunningham,70.0,SPAIN,False
106,1623,05/08/2022,450.94,Courtney Gomez,40.0,SPAIN,False
109,4544,21/03/2022,358.58,Robert Harris,,USA,True
112,3535,15/03/2023,21.73,Victoria Tanner,84.0,FRANCE,True
113,1368,11/11/2024,495.07,Phillip Estes,39.0,FRANCE,True
114,1085,29/06/2023,262.3,Joshua Baker,82.0,CANADA,True
115,4337,30/10/2023,460.13,Steve Mcconnell,18.0,SPAIN,True
116,3460,29/05/2024,183.64,Steven Wilson,20.0,USA,True
120,2758,25/04/2023,299.82,Cynthia Hunt,26.0,USA,False
121,5052,13/03/2022,62.81,Terry Henderson,51.0,USA,False
122,371,22/08/2023,46.14,Ralph Anderson,47.0,CANADA,True
127,1503,01/07/2023,364.62,Lindsey Kent,36.0,USA,False
128,4830,19/08/2024,459.01,William Pena,31.0,UK,False
129,4173,28/07/2024,51.06,Pamela Hughes,58.0,USA,True
130,64,21/11/2023,300.84,Tyler Miller,59.0,FRANCE,False
131,3031,25/01/2024,340.21,Lucas Smith,29.0,USA,False
134,4818,04/11/2023,146.86,Laura Ford,41.0,NETHERLANDS,False
136,4042,26/10/2022,177.15,David Cook,72.0,ITALY,False
137,4622,20/10/2022,263.66,Mary Brown,27.0,CANADA,True
138,4303,26/07/2022,294.12,Clayton Mills,58.0,GERMANY,False
141,1462,12/06/2023,477.22,Ashley Carlson,40.0,ITALY,False
142,344,14/01/2023,408.85,Melanie Macias,56.0,USA,False
144,2280,25/09/2024,291.82,Molly Valdez,58.0,UK,False
145,5042,14/10/2024,164.04,Michelle Perry,26.0,NETHERLANDS,True
146,2846,03/11/2024,149.55,Patricia Green,74.0,ITALY,True
147,972,16/04/2023,151.04,Lisa Huffman,85.0,GERMANY,False
149,1388,27/02/2022,151.35,Kyle Sanchez,71.0,GERMANY,True
150,2126,18/02/2023,494.51,Kevin Tran,34.0,FRANCE,True
151,870,27/02/2024,463.01,Sandra Scott,36.0,CANADA,False
152,2283,05/05/2023,79.09,Teresa Garner,63.0,NETHERLANDS,True
153,1695,29/01/2024,280.56,Robert Mclean,44.0,USA,True
154,4168,08/09/2023,379.88,Timothy Patterson,67.0,NETHERLANDS,False
155,225,29/04/2023,303.21,Lauren Keller,74.0,UK,False
156,326,02/05/2024,480.33,Daniel Joyce,34.0,UK,True
157,4423,06/04/2023,273.58,Tara Gonzalez,37.0,CANADA,True
161,4679,28/07/2024,218.99,Nicholas Cunningham,24.0,FRANCE,False
164,898,22/11/2023,360.96,Penny Lewis,59.0,ITALY,True
165,983,03/06/2023,227.76,Amber Walker,77.0,CANADA,False
167,712,11/06/2022,433.61,Amber Sims,50.0,ITALY,False
168,2282,08/01/2023,368.5,Earl Rodriguez,20.0,SPAIN,False
169,955,22/04/2024,484.54,Elizabeth Williams,67.0,GERMANY,True
170,648,28/12/2022,374.7,William Mendoza,31.0,ITALY,True
171,1823,13/05/2023,366.41,Brandon Richardson,81.0,GERMANY,False
173,2748,11/02/2024,145.29,Tracy Taylor,58.0,NETHERLANDS,False
174,5167,20/05/2022,370.41,Monique Walker,27.0,USA,True
175,607,14/08/2022,356.34,Stephanie Ellison,23.0,UK,True
176,2579,04/04/2023,447.21,Jake Tran,58.0,UK,False
177,315,14/06/2023,222.36,Sandra Adams,52.0,SPAIN,True
178,4271,07/07/2023,165.59,Erin Moore,52.0,FRANCE,True
180,5129,19/06/2022,27.46,Deborah Medina,54.0,USA,True
182,2015,01/06/2025,77.07,Karen Harper,28.0,ITALY,True
183,3082,26/07/2024,437.34,Jessica Long,84.0,FRANCE,False
184,1804,10/04/2022,339.94,Jeffrey Stewart,46.0,GERMANY,False
185,2174,18/01/2022,240.36,Michelle Prince,71.0,CANADA,False
187,4070,17/09/2023,148.47,Tiffany Frederick,79.0,USA,False
188,1627,30/07/2022,321.04,Marc Marsh,64.0,SPAIN,False
189,727,31/10/2024,475.91,Daniel Goodman,67.0,SPAIN,False
190,1755,27/10/2022,11.57,Jennifer Smith,64.0,NETHERLANDS,True
191,552,03/06/2022,250.44,Kim Morrow,58.0,ITALY,False
192,5008,28/04/2022,112.19,William Molina,71.0,SPAIN,True
194,2156,15/01/2023,310.56,Catherine Carroll,50.0,ITALY,False
195,5170,10/03/2024,296.11,Alicia Cisneros,23.0,FRANCE,True
196,2857,23/08/2022,247.27,Johnny Perez,70.0,FRANCE,False
197,1476,22/09/2024,440.17,Jennifer Flores,82.0,FRANCE,False
199,3974,20/02/2024,250.21,Angela Cameron,42.0,FRANCE,False
200,5162,13/09/2022,202.18,Nicole Tate,48.0,CANADA,False
201,2926,05/11/2023,276.27,Shelby Robinson,76.0,SPAIN,False
203,921,24/04/2024,481.83,Brandon Kelly,24.0,GERMANY,False
204,2354,07/10/2024,215.6,Jean Reed,29.0,CANADA,True
207,3808,29/08/2024,478.59,Billy Hood,20.0,SPAIN,False
208,931,05/07/2023,180.31,Caroline Duran,29.0,NETHERLANDS,True
209,3262,25/05/2024,355.36,Danny Simmons,40.0,ITALY,False
210,3963,26/05/2023,421.66,Glenn Boyd,74.0,UK,True
211,4008,26/11/2024,304.52,David Anderson,25.0,FRANCE,True
213,2195,22/05/2024,258.67,Luis Mosley,47.0,NETHERLANDS,False
214,3351,01/06/2023,39.79,Sharon Freeman,36.0,ITALY,False
216,2602,21/10/2022,211.5,Juan Fry,20.0,ITALY,False
217,3621,08/07/2024,218.35,Ricardo Kaiser,28.0,GERMANY,False
219,2199,02/05/2023,247.9,Theresa Stevenson,21.0,UK,False
221,374,06/12/2024,161.17,Nathan Montes,,UK,True
222,3358,04/07/2023,118.44,Brian Shaffer,,FRANCE,True
223,1365,18/08/2022,272.65,Rachel Meyer,,UK,True
225,5025,19/06/2022,309.27,Bonnie Strickland,24.0,ITALY,False
226,1059,05/10/2023,306.43,Nicole Richards,,SPAIN,False
227,164,11/07/2022,475.64,Diana Hayes,37.0,CANADA,False
228,173,03/03/2024,403.18,Patrick Rivera,76.0,GERMANY,True
229,740,06/06/2023,392.41,Kevin Smith,43.0,UK,True
230,2731,12/02/2024,456.99,Erica Lane,61.0,SPAIN,False
231,4530,08/08/2023,41.1,Sandy Bennett,36.0,GERMANY,False
232,404,25/08/2024,264.14,Carrie Maxwell,71.0,UK,True
233,2967,23/05/2022,272.38,Dr. Joseph Sanchez,55.0,GERMANY,False
234,1287,10/12/2023,420.69,Lisa Hart,45.0,NETHERLANDS,True
236,1879,08/04/2022,152.19,Elizabeth Joyce,82.0,ITALY,False
237,1323,18/06/2023,456.22,Joshua Harris,62.0,USA,True
238,2716,04/04/2022,212.56,Andrew Meyer,51.0,SPAIN,True
239,4530,13/04/2024,369.33,Sandy Bennett,36.0,GERMANY,False
241,165,27/03/2022,380.01,Leonard Gray,,GERMANY,True
243,3260,07/05/2023,397.76,Samantha Reynolds,72.0,SPAIN,False
244,347,31/07/2024,86.9,Donald Brown,45.0,GERMANY,True
245,2470,06/06/2022,21.88,Allison Simmons,80.0,CANADA,False
246,5174,18/02/2023,388.48,Randy Howell,33.0,CANADA,False
