customer_id,name,age,country,is_active
223,Xwkgp,56,USA,0
444,   Name20   ,,USA,
375,,35,CANADA,1
146,Mwtxz,,UsA,
241,   Name43   ,unknown,USA,active
107,   Name83   ,,UsA,1
220,   Name88   ,20,CANADA,active
127,   Name74   ,,uk,1
429,   Name53   ,,CANADA,active
353,Nrohr,unknown,UsA,1
260,   Name55   ,57,uk,0
260,Imzch,unknown,UsA,0
404,,66,USA,active
487,,,,1
369,Ynmij,unknown,India,
245,   Name54   ,,uk,active
133,   Name90   ,,UsA,1
444,,unknown,India,1
240,   Name29   ,,CANADA,inactive
181,,28,,
131,Lahkh,48,uk,active
172,   Name95   ,,UsA,0
244,   Name27   ,,USA,1
370,,unknown,uk,active
252,,unknown,uk,inactive
197,,56,USA,1
485,   Name75   ,48,CANADA,active
277,   Name50   ,42,,active
125,Nwqkj,70,India,1
349,Cgmoq,,USA,0
243,Udynb,59,India,1
288,   Name11   ,,India,0
107,,,,1
489,,unknown,CANADA,0
481,   Name17   ,52,,inactive
407,Ccitu,unknown,uk,inactive
208,Ohhol,,CANADA,inactive
477,Pshsb,,uk,active
226,,unknown,,
194,,,,active
363,Jqxhb,unknown,USA,active
127,   Name68   ,unknown,USA,inactive
399,Ccqmq,,,0
427,Mrfab,unknown,uk,
389,,19,,1
411,   Name94   ,,,active
338,,,CANADA,1
112,,,CANADA,0
171,,50,UsA,0
235,Vifwr,,CANADA,
238,Zkuzo,30,CANADA,active
102,,31,,1
254,,29,CANADA,1
203,,69,,inactive
144,Abmqf,,CANADA,0
112,   Name27   ,66,India,active
417,   Name96   ,,CANADA,0
106,   Name15   ,37,CANADA,0
339,Fnnxl,,UsA,inactive
347,,58,,0
149,   Name36   ,unknown,uk,1
442,Xtuds,,uk,inactive
385,   Name76   ,67,India,1
189,Bygje,69,,active
220,Vqaom,,USA,
446,Tcoqd,unknown,India,inactive
268,Owpgi,unknown,CANADA,0
459,,,,0
453,,60,USA,inactive
223,   Name21   ,unknown,India,0
166,,44,USA,1
487,   Name100   ,unknown,uk,1
350,,32,CANADA,inactive
343,,49,USA,
422,Bzdzq,unknown,USA,active
429,Pnjpz,,UsA,0
212,   Name94   ,,uk,
350,Bewfk,22,India,inactive
323,,unknown,USA,1
281,,unknown,CANADA,inactive
275,Qerxx,unknown,India,active
231,,,UsA,inactive
325,,,CANADA,
303,   Name44   ,52,uk,
133,,unknown,,inactive
324,   Name53   ,31,CANADA,active
165,Vjobq,69,UsA,1
327,,,uk,active
282,   Name93   ,,India,inactive
343,   Name55   ,unknown,USA,inactive
215,   Name53   ,38,,1
272,   Name98   ,unknown,USA,
264,,69,CANADA,inactive
258,,,uk,1
385,,unknown,India,inactive
154,,,CANADA,inactive
247,   Name69   ,,India,inactive
339,   Name42   ,,CANADA,inactive
149,   Name61   ,unknown,CANADA,0
192,Hbhwa,62,India,1
299,Tpmwp,,CANADA,0
308,Vaiwj,29,uk,1
319,Rttwm,38,,0
154,,,,1
273,Cbheg,,India,inactive
449,   Name40   ,unknown,,0
226,   Name84   ,,UsA,active
397,,,CANADA,0
211,Phiso,unknown,uk,active
495,,unknown,India,0
395,   Name79   ,unknown,India,active
481,   Name6   ,29,uk,
165,   Name35   ,54,uk,active
410,,44,uk,active
236,   Name15   ,,uk,
191,   Name2   ,,UsA,active
336,Aguvb,49,uk,inactive
462,   Name14   ,unknown,,active
126,,unknown,uk,
171,Ztmis,,USA,
135,   Name21   ,45,uk,0
277,,,USA,1
130,,unknown,uk,inactive
428,Uherz,,CANADA,
150,,,,inactive
206,,unknown,uk,0
230,Jnyja,unknown,uk,0
213,Fpmoz,33,uk,active
425,,64,USA,
227,Dnarh,unknown,India,1
391,Qqxew,unknown,India,
125,,50,UsA,
323,Igwru,26,India,active
180,,unknown,USA,
341,Ekqwh,unknown,CANADA,active
416,   Name2   ,46,USA,active
479,,,USA,1
376,   Name36   ,unknown,India,1
413,,unknown,India,active
429,   Name63   ,,uk,0
269,Wmmvi,40,India,inactive
358,,unknown,India,inactive
192,,44,India,inactive
247,   Name75   ,,,inactive
328,,18,uk,
342,,34,uk,inactive
196,,unknown,,
210,Lhuhk,,CANADA,inactive
460,,,UsA,1
389,   Name88   ,,uk,active
135,Lkipi,32,UsA,
167,,unknown,USA,inactive
408,   Name89   ,20,,
409,   Name36   ,,uk,inactive
122,Udcez,,,1
213,   Name2   ,unknown,uk,
330,Vjlsp,unknown,India,
157,   Name64   ,63,uk,1
452,   Name71   ,54,uk,active
407,Hxwhx,unknown,India,inactive
156,,,,active
175,Truzh,,,1
326,,,uk,
277,Jxbvt,52,CANADA,0
406,Veuwj,44,USA,
224,,unknown,India,active
390,Eokag,,UsA,0
456,Bcrmu,69,CANADA,
285,,,India,inactive
261,Uxbbb,,India,inactive
336,   Name20   ,unknown,uk,inactive
441,,,,
144,,,,1
247,,,uk,0
192,Snccq,unknown,CANADA,1
143,Mowuz,30,UsA,inactive
478,,unknown,uk,0
145,,63,India,inactive
315,Ygcjx,68,CANADA,inactive
444,Gelse,27,India,0
195,,,UsA,
190,   Name80   ,unknown,UsA,
117,Kvkjs,29,India,inactive
461,   Name50   ,,UsA,1
300,Onuwm,unknown,India,1
434,Pvxja,,UsA,inactive
469,,68,uk,1
444,Cnfhs,53,CANADA,
266,,,,
406,   Name47   ,,India,0
145,   Name31   ,,UsA,0
123,,,,1
101,,38,India,inactive
467,   Name11   ,32,India,
241,   Name17   ,,UsA,0
228,,23,UsA,0
197,   Name80   ,unknown,,0
301,   Name94   ,27,,1
228,Sfyqx,unknown,CANADA,active
210,,44,CANADA,
300,,,CANADA,inactive
236,Dmuun,68,UsA,active
248,   Name7   ,61,India,
228,Smanu,,USA,
207,   Name27   ,22,uk,0
182,   Name12   ,unknown,USA,
483,,unknown,USA,1
498,   Name9   ,unknown,UsA,1
388,,43,CANADA,1
314,Lktcx,,,active
401,   Name85   ,unknown,USA,
147,   Name38   ,,USA,inactive
229,Uwonh,unknown,,1
175,,,uk,0
180,,,uk,
453,,19,India,active
489,Qdnon,,UsA,0
462,Fwteq,42,CANADA,
103,   Name61   ,,USA,inactive
423,   Name31   ,,,active
128,   Name6   ,,UsA,0
337,Zwrmx,34,uk,inactive
422,   Name90   ,,USA,1
176,Qsoop,54,UsA,
184,,,uk,active
326,,,CANADA,active
303,,unknown,India,active
467,Pqnad,,CANADA,
356,,unknown,India,active
222,   Name93   ,unknown,,
263,   Name9   ,,CANADA,inactive
180,   Name27   ,,India,0
336,Tfuow,54,UsA,0
360,,,India,
124,   Name69   ,unknown,,1
421,   Name20   ,unknown,CANADA,active
359,Qxeft,65,,
328,Kxjuz,56,CANADA,inactive
379,Qklsx,37,CANADA,inactive
263,,unknown,India,inactive
442,,unknown,,active
346,   Name40   ,,CANADA,
154,,43,,0
128,,60,USA,active
408,Csrdi,,uk,1
211,,21,CANADA,1
196,   Name91   ,,USA,inactive
376,,unknown,,inactive
484,Hbgvj,56,,active
290,Eeqfu,,CANADA,0
211,   Name98   ,unknown,uk,0
120,,20,India,inactive
107,Ktihl,20,CANADA,inactive
122,   Name42   ,,India,
401,Sywnl,,USA,inactive
122,   Name46   ,,uk,active
130,,,CANADA,inactive
